date,close,macd_hist,rsi,supertrend_signal,bb_percent,stoch_k,stoch_d,atr_pct,roc,obv,vwap
1986-05-07,0.110243,-0.000099,57.250174,1,0.722893,49.056678,49.528137,0.031079,8.546420,389116800.000000,566833.142710
1986-05-08,0.111111,-0.000187,58.362319,1,0.735588,52.829934,51.179036,0.028071,11.304670,392659200.000000,391549.738026
1986-05-09,0.110243,-0.000324,56.656493,1,0.648831,49.056678,50.117857,0.024579,9.957115,386582400.000000,671682.883930
1986-05-12,0.111111,-0.000371,57.901281,1,0.671481,52.829934,51.473896,0.025635,0.787352,397065600.000000,1170865.116119
1986-05-13,0.111979,-0.000359,59.099838,1,0.691518,54.901509,53.187702,0.023630,-4.444993,400896000.000000,428924.362636
1986-05-14,0.111111,-0.000421,57.184127,1,0.617054,19.353397,36.270550,0.020905,-5.882801,391593600.000000,1036290.462756
1986-05-15,0.111111,-0.000470,57.164999,1,0.600132,24.997604,30.634077,0.019945,-3.030118,391593600.000000,424599.437714
1986-05-16,0.111979,-0.000451,58.634428,1,0.624276,36.359834,33.496956,0.021829,0.000000,403545600.000000,1345289.235950
1986-05-19,0.110243,-0.000556,54.434448,1,0.477906,25.000000,29.248478,0.022436,0.000000,392544000.000000,1216032.519722
1986-05-20,0.109375,-0.000676,52.521380,1,0.386553,14.285714,21.767096,0.021389,-0.787352,330566400.000000,6778800.000000
1986-05-21,0.107639,-0.000854,48.753011,1,0.244913,0.000000,10.883548,0.022180,-1.587200,322473600.000000,878125.448871
1986-05-22,0.107639,-0.000945,48.755237,1,0.240495,0.000000,5.441774,0.019614,-2.362055,322473600.000000,475575.407338
1986-05-23,0.107639,-0.000976,48.755429,1,0.234049,0.000000,2.720887,0.018980,-2.362055,322473600.000000,442566.969109
1986-05-27,0.111111,-0.000742,56.155003,1,0.570078,50.000000,26.360444,0.020725,0.000000,336355200.000000,1526332.820034
1986-05-28,0.114583,-0.000355,61.658867,1,1.032968,100.000000,63.180222,0.021953,3.936758,351878400.000000,1760729.315329
1986-05-29,0.117188,0.000055,65.173481,1,1.390395,84.616746,73.898484,0.025644,5.469305,397555200.000000,5326325.956106
1986-05-30,0.121528,0.000568,69.399815,1,1.764122,88.889599,81.394041,0.029322,8.527491,424627200.000000,3274340.340614
1986-06-02,0.118056,0.000619,61.654068,1,1.277283,66.668797,74.031419,0.030044,6.250505,404899200.000000,2351840.628147
1986-06-03,0.118056,0.000597,61.571468,1,1.204913,66.668797,70.350108,0.027256,6.250505,404899200.000000,588700.741196
1986-06-04,0.117188,0.000475,59.713538,1,1.057078,61.113596,65.731852,0.026508,4.651764,400176000.000000,554867.365265
1986-06-05,0.118924,0.000461,61.946083,1,1.187955,72.223997,68.977924,0.025354,7.874422,413884800.000000,1618401.520729
1986-06-06,0.118924,0.000404,61.886758,1,1.129060,72.223997,70.600961,0.023398,8.730514,413884800.000000,405593.124032
1986-06-09,0.113715,-0.000011,51.505888,1,0.529192,38.886404,54.743682,0.028350,5.644795,401212800.000000,1462999.297142
1986-06-10,0.113715,-0.000296,51.499160,1,0.514713,38.886404,46.815043,0.025971,5.644795,401212800.000000,387740.842938
1986-06-11,0.113715,-0.000483,51.498343,1,0.504936,38.886404,42.850724,0.024025,5.644795,401212800.000000,260666.112900
1986-06-12,0.109375,-0.000876,44.314772,0,0.026212,11.110401,26.980562,0.029094,-1.562402,387504000.000000,1515265.652847
1986-06-13,0.109375,-0.001097,44.330747,0,0.044418,11.110401,19.045482,0.026690,-4.545177,387504000.000000,863100.000000
1986-06-16,0.108507,-0.001253,43.001132,0,-0.019882,5.555201,12.300341,0.026375,-7.407754,377913600.000000,1043400.354624
1986-06-17,0.110243,-0.001190,46.599947,1,0.171027,16.665602,14.482971,0.026966,-9.285926,390988800.000000,1445232.366371
1986-06-18,0.109375,-0.001157,45.164811,0,0.084392,11.110401,12.796686,0.026567,-7.353289,386640000.000000,474391.747069
1986-06-19,0.108507,-0.001142,43.714274,0,-0.006282,6.249551,9.523119,0.026274,-8.088534,378172800.000000,921200.313091
1986-06-20,0.108941,-0.001053,44.724929,0,0.035596,11.537474,10.530296,0.022860,-7.037406,381974400.000000,414150.110149
1986-06-23,0.110243,-0.000865,47.622205,1,0.157097,28.569081,19.549689,0.024209,-7.299619,428169600.000000,5039234.187412
1986-06-24,0.109375,-0.000761,45.968071,0,0.083642,21.426811,20.488250,0.024293,-8.029497,413596800.000000,1598116.397238
1986-06-25,0.107639,-0.000768,42.793034,0,-0.049935,7.142270,13.815260,0.024595,-5.343183,398361600.000000,1653125.845027
1986-06-26,0.104167,-0.000955,37.522965,0,-0.310622,0.000000,6.907630,0.028369,-8.396431,379209600.000000,2022712.936521
1986-06-27,0.103299,-0.001075,36.438706,0,-0.335986,7.692308,7.299969,0.027990,-9.159742,368812800.000000,1076987.177753
1986-06-30,0.106771,-0.000868,44.362912,0,0.061787,38.461538,22.880754,0.033981,-2.380800,431164800.000000,6621304.347396
1986-07-01,0.106771,-0.000686,44.402215,0,0.110966,38.461538,30.671146,0.029281,-2.380800,431164800.000000,5066142.129707
1986-07-02,0.106771,-0.000529,44.388808,0,0.161427,45.454545,38.062846,0.025435,-1.599897,431164800.000000,5602809.728193
1986-07-03,0.108507,-0.000282,48.410759,0,0.400054,63.636364,50.849605,0.024841,-1.574703,445305600.000000,1534375.784326
1986-07-07,0.104167,-0.000380,41.167306,0,-0.012170,18.181818,34.515711,0.028746,-4.761600,431251200.000000,1484336.711311
1986-07-08,0.101563,-0.000577,37.774002,0,-0.202415,8.342119,21.428915,0.030340,-6.399588,416995200.000000,1456126.845002
1986-07-09,0.097222,-0.000936,32.965903,0,-0.474777,5.881955,13.655435,0.035674,-10.757202,370857600.000000,4539001.706028
1986-07-10,0.094618,-0.001263,30.696832,0,-0.512411,20.832335,17.243885,0.045002,-14.173235,323971200.000000,4422731.599617
1986-07-11,0.097222,-0.001220,36.472599,0,-0.205449,33.331736,25.287810,0.043950,-11.111314,341366400.000000,1686163.128948
1986-07-14,0.095920,-0.001191,35.118895,0,-0.225670,27.082018,26.184914,0.043029,-10.887321,312768000.000000,2751432.970190
1986-07-15,0.097222,-0.001006,37.909317,0,-0.066074,34.780869,30.482892,0.042850,-6.667178,325958400.000000,1278580.650759
1986-07-16,0.100694,-0.000590,44.342995,0,0.244389,54.542603,42.512747,0.040120,-2.521804,335318400.000000,934371.365905
1986-07-17,0.102431,-0.000162,47.188263,0,0.407206,63.638265,53.075506,0.036892,-4.064775,342259200.000000,704926.154923
1986-07-18,0.103299,0.000196,48.571056,0,0.496534,68.183482,60.629494,0.037572,-3.251820,354585600.000000,1262601.367378
1986-07-21,0.103299,0.000437,48.577143,0,0.519473,68.183482,64.406488,0.033796,-3.251820,354585600.000000,364984.567595
1986-07-22,0.106771,0.000811,53.994398,0,0.815658,86.364349,75.385418,0.032665,-1.599897,365097600.000000,1110210.859895
1986-07-23,0.104167,0.000861,49.786662,0,0.626432,72.728699,74.057059,0.034969,0.000000,344304000.000000,2196088.331079
1986-07-24,0.107639,0.001089,54.654200,1,0.912689,90.909566,82.483312,0.036485,5.982494,358444800.000000,1522101.568651
1986-07-25,0.108507,0.001249,55.788229,1,0.978432,95.454783,88.969048,0.032522,11.607455,378892800.000000,2218751.134157
1986-07-28,0.105903,0.001134,51.534298,0,0.758759,81.819132,85.394090,0.031733,11.926906,367084800.000000,1260751.964808
1986-07-29,0.103299,0.000849,47.769024,0,0.544727,68.183482,76.788786,0.035785,6.250642,353030400.000000,1459938.270378
1986-07-30,0.099826,0.000416,43.371780,0,0.263533,35.291730,56.040258,0.042946,4.072148,326620800.000000,2636373.535180
1986-07-31,0.098958,0.000077,42.397953,0,0.220493,29.409775,42.725016,0.038636,1.785604,310982400.000000,1556594.217396
1986-08-01,0.098090,-0.000184,41.389101,0,0.191995,23.527820,33.126418,0.036718,-2.586053,298080000.000000,1269329.516602
1986-08-04,0.098090,-0.000327,41.391018,0,0.216787,18.748652,25.937535,0.034868,-4.237974,298080000.000000,1209597.239685
1986-08-05,0.097222,-0.000444,40.331695,0,0.150277,12.499101,19.218318,0.032030,-5.882921,295257600.000000,276032.602787
1986-08-06,0.096354,-0.000537,39.149617,0,0.042730,11.763910,15.491114,0.032994,-6.723201,276940800.000000,1764896.952152
1986-08-07,0.095486,-0.000609,38.126081,0,-0.114297,5.881955,10.686535,0.032199,-10.569349,273283200.000000,350307.859969
1986-08-08,0.096354,-0.000552,40.144033,0,-0.047923,11.763910,11.225222,0.031021,-7.500455,277430400.000000,400799.233246
1986-08-11,0.099826,-0.000249,47.303700,0,0.318655,35.291730,23.258476,0.032403,-7.258521,285379200.000000,791197.060776
1986-08-12,0.102431,0.000137,51.755898,0,0.649051,52.944360,38.101418,0.030461,-5.599639,295372800.000000,1014976.662898
1986-08-13,0.103299,0.000443,53.132031,0,0.763649,58.826315,48.463867,0.027769,-2.458854,302256000.000000,707044.593644
1986-08-14,0.105903,0.000794,57.024093,1,1.110555,81.251348,64.857607,0.028122,2.520838,322387200.000000,2120305.210733
1986-08-15,0.106337,0.001013,57.583733,1,1.125840,96.428895,80.643251,0.025883,6.522352,328492800.000000,647484.639072
1986-08-18,0.105035,0.001026,54.933505,0,0.922759,85.715459,83.179355,0.024445,6.140988,315705600.000000,1350503.073406
1986-08-19,0.105035,0.000989,54.951631,0,0.939119,85.715459,84.447407,0.023757,7.080231,315705600.000000,2132856.245613
1986-08-20,0.104167,0.000866,53.073876,0,0.816269,78.573189,81.510298,0.021114,6.195330,294940800.000000,2169014.859796
1986-08-21,0.104167,0.000748,53.116447,0,0.853628,78.573189,80.041744,0.020305,7.143444,294940800.000000,5188681.320190
1986-08-22,0.102431,0.000527,49.268742,0,0.657647,64.288648,72.165196,0.024601,6.306950,289180800.000000,591667.199135
1986-08-25,0.102431,0.000363,49.269927,0,0.687704,64.288648,68.226922,0.023211,7.273317,289180800.000000,246400.357819
1986-08-26,0.101563,0.000187,47.357912,0,0.564902,57.146378,62.686650,0.020707,5.406106,278323200.000000,1105871.885920
1986-08-27,0.101563,0.000067,47.359605,0,0.552128,53.850237,58.268444,0.020052,1.740026,278323200.000000,968176.586223
1986-08-28,0.101563,-0.000011,47.367408,0,0.532092,40.006900,49.137672,0.017960,-0.847400,278323200.000000,349068.314123
1986-08-29,0.098958,-0.000225,41.535233,0,0.091143,18.179917,33.658795,0.024652,-4.202363,252892800.000000,2531265.726328
1986-09-02,0.096354,-0.000512,37.123385,0,-0.296362,11.110193,22.384494,0.028085,-9.016741,247680000.000000,504536.481571
1986-09-03,0.093750,-0.000830,33.416070,0,-0.579269,16.665602,19.525048,0.033718,-11.836899,229363200.000000,1711900.338650
1986-09-04,0.101563,-0.000482,50.481294,0,0.523279,66.668797,43.096922,0.039452,-3.305565,268790400.000000,3924478.329849
1986-09-05,0.105903,0.000043,56.560442,1,1.129688,94.444799,68.770861,0.039899,0.826391,295142400.000000,2745000.000000
1986-09-08,0.105035,0.000319,55.028008,1,0.939259,88.889599,78.830230,0.035919,0.833277,285523200.000000,1015918.978643
1986-09-09,0.106771,0.000591,57.371824,1,1.142767,85.715068,82.272649,0.036301,2.499832,323049600.000000,4017588.883781
